station code,Station name,srcStateName,srcYear,Minimum temperature for medium and minor rivers,Maximum temperature for medium and minor rivers,Minimum value of dissolved oxygen,Maximum value of dissolved oxygen,Minimum potential of Hydrogen value in water,Maximum potential of Hydrogen value in water,Minimum Conductivity Level,Maximum Conductivity Level,Minimum Biochemical oxygen demand,Maximum Biochemical oxygen demand,Minimum  of Nitrate N + Nitrite N required for medium and minor rivers,Maximum  of Nitrate N + Nitrite N required for medium and minor rivers,Minimum  of Faecal Coliforms for medium and minor rivers,Maximum   of Faecal Coliforms for medium and minor rivers,Minimum  of total coliform for medium and minor rivers,Maximum  of total coliform for medium and minor rivers,YearCode,Year
2205,MER BEEL AT MADHABPUR,ASSAM,2012,18,29,4,9.6,6.2,7,83,105,3.6,5.6,0.1,0.4,0,0,360,1500,2012,"Calendar Year (Jan - Dec), 2012"
3437,BHEEMTAL LAKE,UTTARAKHAND,2012,11,20,6.4,7.8,7.8,8.4,180,220,1.6,3,,,,,,,2012,"Calendar Year (Jan - Dec), 2012"
1362,NAINI LAKE AT NAINITAL (WATER INTAKE POINT),UTTARAKHAND,2012,9,18,6,8.4,7.1,8,310,510,1.4,2.6,,,,,,,2012,"Calendar Year (Jan - Dec), 2012"
2501,"LAXMI POND, JHANSI",UTTAR PRADESH,2012,18,31,0,2.1,7.3,7.7,946,1389,36,38,,,13000,21000,43000,92000,2012,"Calendar Year (Jan - Dec), 2012"
2500,"MAAHIL POND, URAI , JALAUN",UTTAR PRADESH,2012,2,31,0,7.8,0,9.2,0,2560,0,31,,,0,14000,0,54000,2012,"Calendar Year (Jan - Dec), 2012"
2499,"SAMARPUR JHEEL, RAEBARELI",UTTAR PRADESH,2012,20,29,5,8.5,8.1,8.5,432,571,4.1,4.7,1,1.32,4300,7000,7900,8900,2012,"Calendar Year (Jan - Dec), 2012"
1364,RAMGARH LAKE,UTTAR PRADESH,2012,14,31,7.9,8.8,8.1,8.8,602,704,4.8,6.2,1.06,3.84,240,440,400,760,2012,"Calendar Year (Jan - Dec), 2012"
1382,HARIKE LAKE D/S FROM CANAL,PUNJAB,2012,12,22,5.2,7,6.9,7.5,220,396,1.2,2.5,2.6,3.9,90,260,400,5000,2012,"Calendar Year (Jan - Dec), 2012"
3262,"DAL LAKE AT NIGEEN, WATER INTAKE PT OF POKHRIBAL WATER TREATMENT PLANT",JAMMU & KASHMIR,2012,6,25,5,8.8,7.5,8.2,105,337,1,4,0.22,0.74,,,,,2012,"Calendar Year (Jan - Dec), 2012"
2741,POINT OF DISCHARGE OF WASTE WATER FROM DIFFERENT ESTABLISHMENTS,JAMMU & KASHMIR,2012,15,26,6,7.8,8.2,9.1,128,187,14,32,0.44,1.41,,,,,2012,"Calendar Year (Jan - Dec), 2012"
2740,MID POINT(SURINSAR LAKE),JAMMU & KASHMIR,2012,15,26,6.4,8.5,8.2,8.5,129,184,20,29,0.31,1.48,,,,,2012,"Calendar Year (Jan - Dec), 2012"
2739,POINT OF DISCHARGE OF WASTE WATER FROM DIFFERENT ESTABLISHMENTS NEAR NAG TEMPLE,JAMMU & KASHMIR,2012,14,27,6,8.7,7.1,7.4,130,236,3.4,10,0.35,0.66,,,,,2012,"Calendar Year (Jan - Dec), 2012"
2738,MID POINT(MANSAR LAKE),JAMMU & KASHMIR,2012,14,27,7.4,9.4,7.2,8.2,134,281,2.6,12.4,0,0.71,,,,,2012,"Calendar Year (Jan - Dec), 2012"
1309,DAL LAKE AT SRINAGAR,JAMMU & KASHMIR,2012,6,20,5,7.5,7.3,7.9,135,380,1,4,0.34,3.26,,,,,2012,"Calendar Year (Jan - Dec), 2012"
2650,KHAZIAR LAKE,HIMACHAL PRADESH,2012,4,23,5.5,14,6.3,7.2,39,363,0.7,52,0.31,2.04,,,,,2012,"Calendar Year (Jan - Dec), 2012"
2649,RIWALSAR LAKE,HIMACHAL PRADESH,2012,9,26,1,4.1,7.1,8.6,1,406,1.6,305,0.78,3.6,1600,2400,2400,2400,2012,"Calendar Year (Jan - Dec), 2012"
1429,"RENUKA LAKE , 35 KM FROM PATNA SAHIB NORTH",HIMACHAL PRADESH,2012,12,28,4.8,8,6.7,8.1,201,637,1.4,2.8,0.07,185,13,20,24,187,2012,"Calendar Year (Jan - Dec), 2012"
1292,PONGDAM LAKE AT PONG VILLAGE,HIMACHAL PRADESH,2012,15,28,6,9.5,8.2,8.9,153,2150,0.3,1,0.08,1.67,,,,,2012,"Calendar Year (Jan - Dec), 2012"
3073,"HASMATHPET LAKE, HASMATHPET,  RANGA REDDY",ANDHRA PRADESH,2012,25,28,0,4.2,7.1,7.9,1253,2652,35,92,0,24,140,900,900,1600,2012,"Calendar Year (Jan - Dec), 2012"
3074,"BANJARA LAKE, BANJARA HILLS,  RANGA REDDY",ANDHRA PRADESH,2012,24,31,0,1,6.9,9.9,376,955,10,80,0,101,110,1600,1100,1600,2012,"Calendar Year (Jan - Dec), 2012"
3075,"RANGADHAMUNI CHERUVU,  RANGA REDDY",ANDHRA PRADESH,2012,25,30,3.2,8.5,6.7,8.4,614,1921,20,121,0,13.6,110,500,900,1600,2012,"Calendar Year (Jan - Dec), 2012"
3076,"AMBER CHERUVU,KUKATPALLY, RANGA REDDY",ANDHRA PRADESH,2012,22,29,1.8,8.1,7.2,8.1,1140,2820,27,76,0,9.2,110,300,350,1200,2012,"Calendar Year (Jan - Dec), 2012"
3077,"KAPRA CHERUVU, KAPRA,  RANGA REDDY",ANDHRA PRADESH,2012,20,29,3.2,7.4,6.9,8.2,1046,1858,11,59,0,2.7,90,350,220,1600,2012,"Calendar Year (Jan - Dec), 2012"
3078,"PRAGATHINAGAR CHERUVU, KUKATPALLY,  RANGA REDDY",ANDHRA PRADESH,2012,28,30,3.2,5.4,7.4,8.2,1153,1510,20,52,0,2.9,170,300,350,1600,2012,"Calendar Year (Jan - Dec), 2012"
3084,"WADDEPALLY TANK, KAZIPET,  WARANGAL",ANDHRA PRADESH,2012,24,32,5,7.7,7.5,8.4,402,597,1.3,52,0,1.2,110,350,220,1600,2012,"Calendar Year (Jan - Dec), 2012"
3085,"CHINNA WADDEPALLY TANK,  WARANGAL",ANDHRA PRADESH,2012,26,35,0,4.9,7.2,8.4,34,3000,0.5,70,0,5.6,110,900,500,1600,2012,"Calendar Year (Jan - Dec), 2012"
3086,"SAKI TANK, PATANCHERU,  RANGA REDDY",ANDHRA PRADESH,2012,27,29,5.7,6.5,7.3,8.9,1084,2471,2,6,3,18,25,90,170,280,2012,"Calendar Year (Jan - Dec), 2012"
1388,ULSOOR LAKE TRAINING CENTRE OF FISH BREEDING,KARNATAKA,2012,26,33,7.6,8.7,7.1,8.8,373,708,3,21,4.1,50,500,1600,140,1600,2012,"Calendar Year (Jan - Dec), 2012"
1446,HEBALLA VALLEY LAKE AT D/S ROAD BRIDGE NR. MANDYA,KARNATAKA,2012,24,31,2.4,3.8,7.3,7.5,418,494,4,7,0.53,0.71,1600,9400,1600,43000,2012,"Calendar Year (Jan - Dec), 2012"
1383,ORUVATHILKOTTA LAKE,KERALA,2012,27,33,1.4,7.9,6,7.9,290,2620,1.9,4.8,0.2,1.87,210,800,1600,1700,2012,"Calendar Year (Jan - Dec), 2012"
1385,SASTHAMCOTTA LAKE,KERALA,2012,24,31,6.4,7.9,6.2,7.8,48,95,0.4,0.8,0.04,0.8,40,350,110,900,2012,"Calendar Year (Jan - Dec), 2012"
1441,ASHTHAMUDI LAKE AT QUILON,KERALA,2012,23,30,1.2,6.8,6.9,8.3,19850,59800,1.4,18,0.5,2.8,110,500,220,1100,2012,"Calendar Year (Jan - Dec), 2012"
1574,PARAVUR,KERALA,2012,25,29,5.2,7.7,6.8,7.8,1220,30240,0.8,4.2,0.19,1.9,80,500,220,900,2012,"Calendar Year (Jan - Dec), 2012"
1575,KOCHI (OIL TANKER JETTY),KERALA,2012,27,32,4.3,7.3,7,8.2,3199,44670,1,3.8,0.12,0.71,40,1600,500,3000,2012,"Calendar Year (Jan - Dec), 2012"
1576,THEKKADY,KERALA,2012,22,27,6.7,7.7,7.2,7.7,42,80,0.3,2,0.06,0.2,100,700,200,1100,2012,"Calendar Year (Jan - Dec), 2012"
1577,KODUNGALLOOR,KERALA,2012,27,30,5.2,6.8,6.7,7.9,182,38720,1.3,3.9,0.13,0.8,2,1100,80,6000,2012,"Calendar Year (Jan - Dec), 2012"
1578,KAYAMKULAM,KERALA,2012,27,29,4.2,8.2,6.5,8.1,620,56000,1.7,7.6,0,0.56,170,2200,400,2800,2012,"Calendar Year (Jan - Dec), 2012"
1579,ALAPPUZHA,KERALA,2012,27,29,4.1,6.5,6.5,7.2,108,13300,0.7,5.7,0,0.98,220,3000,400,5000,2012,"Calendar Year (Jan - Dec), 2012"
1580,POOKOTE,KERALA,2012,24,30,6,7.6,6.6,7.3,21,39,0.3,1.8,0,0.26,0,80,9,170,2012,"Calendar Year (Jan - Dec), 2012"
2312,LAKE VEMBANADU AT PATHIRAMANAL (ALAPPUZHA),KERALA,2012,27,29,5.8,7.6,6.4,7.2,102,5800,0.1,4.1,0,0.5,240,1100,500,1600,2012,"Calendar Year (Jan - Dec), 2012"
2318,PAZHASSI RESERVOIR (KANNUR),KERALA,2012,24,32,7,8.3,6.4,7.9,49,104,0.6,3.9,0.05,0.6,7,400,70,2200,2012,"Calendar Year (Jan - Dec), 2012"
2325,POND AT (PADMANABHA) SREE PADMANABHA SWAMY TEMPLE (TVPM),KERALA,2012,27,31,6,8,7.5,7.9,182,306,1.5,4,0.25,1.1,30,260,500,900,2012,"Calendar Year (Jan - Dec), 2012"
2328,RSVR AT MALAMPUZHA,KERALA,2012,24,31,6,7.8,6.9,8.4,85,180,0.2,1.8,0,2.23,2,900,6,1600,2012,"Calendar Year (Jan - Dec), 2012"
2329,RSVR AT BHOOTHATHANKETU,KERALA,2012,25,31,7,8,6.7,8.4,22,44,0.5,2,0,0.7,20,1600,110,3500,2012,"Calendar Year (Jan - Dec), 2012"
2330,RSVR AT EDAMALAYAR,KERALA,2012,26,32,7.1,8.1,6.6,8,23,50,0.3,1.7,0,0.7,2,1700,6,3000,2012,"Calendar Year (Jan - Dec), 2012"
3462,MANANCHIRA POND AT KOZHEKODE,KERALA,2012,24,28,5,7.3,6.6,8,68,106,0.2,1.2,0.02,0.7,4,170,11,300,2012,"Calendar Year (Jan - Dec), 2012"
3470,VELLAYANI LAKE AT VANDITHADOM,KERALA,2012,27,31,4.8,7.8,6.3,7.8,108,260,1.5,5,0.05,1.05,200,900,1100,1700,2012,"Calendar Year (Jan - Dec), 2012"
1396,OSTERI LAKE,PONDICHERRY,2012,25,30,7,7.7,8,8.4,326,376,1.5,1.5,0.02,0.05,,,,,2012,"Calendar Year (Jan - Dec), 2012"
1686,BAHOUR LAKE,PONDICHERRY,2012,25,30,6.3,8.2,7.6,8.1,459,586,2.8,2.8,0.01,0.05,,,,,2012,"Calendar Year (Jan - Dec), 2012"
1420,KODAI KANAL LAKE,TAMILNADU,2012,17,23,6.3,8,6.1,14,79,155,2,26,0.05,1.85,6,11,8,21,2012,"Calendar Year (Jan - Dec), 2012"
2843,"POND AT LALAMBUNG, IMPHAL WEST",MANIPUR,2012,27,32,5.6,10.8,6.9,8.4,218,513,3.5,8,,,,,20,65,2012,"Calendar Year (Jan - Dec), 2012"
1421,UDHAGAMADALEM LAKE (OOTY),TAMILNADU,2012,14,19,1.2,6.6,6.6,7.9,329,521,3.7,76,0.04,1,1100,900000000,2200,2000000000,2012,"Calendar Year (Jan - Dec), 2012"
1452,"YERCAUD LAKE, SALEM",TAMILNADU,2012,20,28,6.3,8.7,7.5,8.2,259,390,0.5,4.1,0.07,2.98,110,220,260,400,2012,"Calendar Year (Jan - Dec), 2012"
3007,VEERANAM LAKE AT CUDDALORE,TAMILNADU,2012,26,36,5.3,8.5,7.7,9,505,1475,0.4,6.6,0.04,1.14,60,220,140,470,2012,"Calendar Year (Jan - Dec), 2012"
3008,POONDI LAKE AT THIRUVALLUR,TAMILNADU,2012,,,4.8,7.6,7.5,8.8,437,673,2,4,0.01,0.34,110,2200,230,9200,2012,"Calendar Year (Jan - Dec), 2012"
3009,REDD HILLS AT THIRUVALLUR,TAMIL NADU,2012,,,5.2,8.8,7.9,8.9,465,1010,2,3,0.01,1.4,330,13000,490,33000,2012,"Calendar Year (Jan - Dec), 2012"
3010,PORUR LAKE AT THIRUVALLUR,TAMILNADU,2012,25,35,6.4,8.9,7.8,9.5,428,1406,1,8,0.01,0.51,790,9200,1700,16000,2012,"Calendar Year (Jan - Dec), 2012"
3011,PULICATE LAKE AT THIRUVALLUR,TAMILNADU,2012,,,3.8,8.2,7.5,8.5,5950,58700,2,70,0.01,1.02,20,490,130,1700,2012,"Calendar Year (Jan - Dec), 2012"
1549,SALAULIM LAKE AT SALAULIM - SANGUEM,GOA,2012,29,35,6.4,7.8,5.9,7.9,36,73,0.2,2.6,0,2.2,11,7000,2,35000,2012,"Calendar Year (Jan - Dec), 2012"
2269,"MAYEM LAKE, BICHOLIM",GOA,2012,27,33,6.1,9,5.5,8.4,1,65,1,31.8,0.02,0.98,180,1100,125,7900,2012,"Calendar Year (Jan - Dec), 2012"
3176,RUMDER LAKE,GOA,2012,29,32,3.7,6.1,6.1,6.7,73,115,1.2,3.4,0.01,0.53,180,4600,4600,17000,2012,"Calendar Year (Jan - Dec), 2012"
3178,RAIA LAKE,GOA,2012,29,34,3.6,6.5,6,7.1,69,86,1.5,2.4,0,0.31,200,2100,2,3300,2012,"Calendar Year (Jan - Dec), 2012"
3179,SAIPEM LAKE,GOA,2012,26,31,1.2,4.9,6.3,7.2,129,383,3.6,9,0.02,1.23,2300,9400,2400,24000,2012,"Calendar Year (Jan - Dec), 2012"
3180,CURTORIM LAKE,GOA,2012,28,33,2.5,6.4,6.1,7.4,47,151,1.7,16,0.02,0.25,180,6300,1100,14000,2012,"Calendar Year (Jan - Dec), 2012"
1345,"AJWAH LAKE AT SRI SAYAJI SABVAR,BARODA",GUJARAT,2012,26,26,7.3,7.3,8.6,8.6,279,279,1.3,1.3,0.06,0.06,4,4,11,11,2012,"Calendar Year (Jan - Dec), 2012"
1346,SURSAGAR LAKE AT BARODA,GUJARAT,2012,26,26,2.6,2.6,7.4,7.4,2330,2330,1.5,1.5,0.19,0.19,26,26,60,60,2012,"Calendar Year (Jan - Dec), 2012"
1972,"NALSAROVAR LAKE (SANAND), DIST.AHMEDABAD",GUJARAT,2012,27,31,6,8.8,7.6,9.7,1200,9010,2,35,0,0.25,9,15,64,75,2012,"Calendar Year (Jan - Dec), 2012"
1977,CITY LAKE OF NADIAD,GUJARAT,2012,26,30,6,35,8.3,9.2,1142,2110,0.4,14,0,0.36,2,26,29,40,2012,"Calendar Year (Jan - Dec), 2012"
1149,KOLAK AT PATALIA BDG,GUJARAT,2016,25,31,2.6,6.9,7,8.1,279,2808,,,0.03,,,10,,63,2016,"Calendar Year (Jan - Dec), 2016"
2076,ANKLESHWAR RESERVOIR AT GIDC ANKLESHWAR AT VALIA ROAD.,GUJARAT,2012,21,29,5.6,12.4,7.9,8.6,240,471,0.7,5,0.18,0.77,2,260,2,2800,2012,"Calendar Year (Jan - Dec), 2012"
1373,UPPER LAKE AT BHOPAL (INTAKE POINT),MADHYA PRADESH,2012,20,30,5.3,8.8,7.1,8.4,229,448,0.6,2.9,0.1,2.1,0,6,11,140,2012,"Calendar Year (Jan - Dec), 2012"
2137,UPPER LAKE AT YATCH CLUB,MADHYA PRADESH,2012,23,32,5.1,18.1,7.5,8.9,236,648,1.8,4.4,0.1,2.3,0,7,11,900,2012,"Calendar Year (Jan - Dec), 2012"
2138,UPPER LAKE AT KARBALA CLUB,MADHYA PRADESH,2012,21,29,5,14,7.1,8.3,232,472,0.9,7.3,0.3,17.7,0,8,11,220,2012,"Calendar Year (Jan - Dec), 2012"
2139,UPPER LAKE AT BAIRAGARH CLUB,MADHYA PRADESH,2012,20,30,5.5,10.5,7.3,8.4,229,430,1.5,7.2,0.42,2.25,2,6,14,130,2012,"Calendar Year (Jan - Dec), 2012"
1374,LOWER LAKE AT BHOPAL OUTLET,MADHYA PRADESH,2012,20,31,3.3,20.5,7.1,9.2,259,891,2.4,20,0.44,9.37,2,8,40,1600,2012,"Calendar Year (Jan - Dec), 2012"
1466,MULTAI TANK LAKE AT VILLA. KHARI ON BETUL-AMRAVATI ROAD,MADHYA PRADESH,2012,23,27,5.8,9.1,6.7,8.3,98,445,0.6,6,0,2.62,0,4,4,1600,2012,"Calendar Year (Jan - Dec), 2012"
2128,KHANDARI RESERVOIR WATER OFF TAKE POINT,MADHYA PRADESH,2012,19,26,1.1,7.7,7.2,7.7,324,540,0.9,2.8,0,0.86,6,6,4,210,2012,"Calendar Year (Jan - Dec), 2012"
2129,PERIAT TANK JABALPUR,MADHYA PRADESH,2012,18,27,6.8,7.8,7.2,8.1,277,812,1.1,3,0,1.34,,,4,240,2012,"Calendar Year (Jan - Dec), 2012"
2130,"MADHAV LAKE, SHIVPURI",MADHYA PRADESH,2012,28,28,6.8,6.8,8.3,8.3,232,232,2.5,2.5,2.15,2.15,6,6,130,130,2012,"Calendar Year (Jan - Dec), 2012"
2131,YASHWANT SAGAR AT INDORE,MADHYA PRADESH,2012,24,28,7.3,7.5,7.4,7.8,381,528,1.8,2.8,0.23,2.05,1,1,150,240,2012,"Calendar Year (Jan - Dec), 2012"
2132,BILAWALI TALAB AT INDORE,MADHYA PRADESH,2012,22,24,6.2,7.7,7,7.1,376,807,1.6,2.4,0.2,1.29,1,1,170,220,2012,"Calendar Year (Jan - Dec), 2012"
2133,SIRPUR TALAB AT INDORE,MADHYA PRADESH,2012,24,24,6.8,6.8,8,8,478,478,2,2,1.34,1.34,1,1,240,240,2012,"Calendar Year (Jan - Dec), 2012"
2134,NAGCHUN TALAB AT KHANDWA,MADHYA PRADESH,2012,24,29,6.4,7.8,7.7,7.9,352,609,1.3,1.6,0.45,3.47,1,1,170,500,2012,"Calendar Year (Jan - Dec), 2012"
2135,GOVINDGARH TANK,MADHYA PRADESH,2012,22,39,6.1,6.9,7.3,7.7,0,1,1.5,3.6,1.41,5.01,4,22,27,300,2012,"Calendar Year (Jan - Dec), 2012"
2136,"SHAHPURA LAKE AT WEIR NEAR AYUSHMAN HOSPITAL, BHOPAL",MADHYA PRADESH,2012,21,30,4.1,15.5,7.2,8.6,228,1244,1.4,16,0.1,4.12,0,140,60,1600,2012,"Calendar Year (Jan - Dec), 2012"
2140,"KERWA DAM NEAR REST HOUSE, BPL",MADHYA PRADESH,2012,21,30,4.2,9.5,7.2,8.7,159,966,0.5,12,0.42,5.92,0,2,11,90,2012,"Calendar Year (Jan - Dec), 2012"
2141,JANUNIA TALAB NEAR W/S,MADHYA PRADESH,2012,20,27,5.8,11.5,7.4,8.3,222,1050,0.8,9.8,0.1,4.65,0,7,22,300,2012,"Calendar Year (Jan - Dec), 2012"
3299,HANUMANTAL JABALPUR,MADHYA PRADESH,2012,18,26,6.4,8.4,7.3,7.9,299,731,1.4,8,0,0.92,,,17,210,2012,"Calendar Year (Jan - Dec), 2012"
3300,"RANITAL TALAB, JABALPUR",MADHYA PRADESH,2012,18,26,6.2,8.9,6.9,8.4,399,627,1.8,12,0.12,0.86,10,10,7,450,2012,"Calendar Year (Jan - Dec), 2012"
3301,MOTI TALAB AT BALAGHAT,MADHYA PRADESH,2012,18,25,6.4,8.3,7.2,8.6,136,532,1.2,4.8,0.1,0.86,5,5,14,450,2012,"Calendar Year (Jan - Dec), 2012"
3303,"RANI TALAB, REWA",MADHYA PRADESH,2012,21,38,6.3,7.3,7.3,7.7,0,1,1,2.8,1.83,4.22,2,7,21,300,2012,"Calendar Year (Jan - Dec), 2012"
3164,"NEHRU NAGAR TALAB, BHILAI",CHHATTISGARH,2012,25,31,6.1,6.7,6.4,7.4,174,358,2.3,24,0.4,1.63,,,360,460,2012,"Calendar Year (Jan - Dec), 2012"
3163,"HITKASA TAILINGDAM, RAJHARA",CHHATTISGARH,2012,22,32,6,6.3,7.4,7.6,329,338,6.4,9,0.44,0.68,,,260,2400,2012,"Calendar Year (Jan - Dec), 2012"
1285,PICHOLA LAKE AT UDAIPUR (WATER INTAKE POINT),RAJASTHAN,2012,20,27,4.7,5.6,7,8.6,500,790,0.9,2.1,0.08,0.8,3,9,4,75,2012,"Calendar Year (Jan - Dec), 2012"
1286,UDAISAGAR LAKE AT UDAIPUR (INTAKE PT.),RAJASTHAN,2012,20,27,4.2,5.4,7.6,9.1,1260,2100,0.9,4.8,0.4,1.9,4,20,14,240,2012,"Calendar Year (Jan - Dec), 2012"
1414,PUSHKAR LAKE,RAJASTHAN,2012,17,20,2.1,6.4,7.2,8.2,16,750,1.7,14.8,0.14,1.1,4,14,9,150,2012,"Calendar Year (Jan - Dec), 2012"
1481,FATEH SAGAR LAKE AT UDAIPUR INTAKE POINT OF PHED,RAJASTHAN,2012,20,28,5.1,6,7.7,8.9,590,760,0.7,2.3,0.02,0.92,3,4,4,20,2012,"Calendar Year (Jan - Dec), 2012"
1714,KAYALANA JHEEL JODHPUR,RAJASTHAN,2012,14,27,4,10.7,7.5,8.9,280,390,0.6,2.9,0.16,1.82,3,7,4,28,2012,"Calendar Year (Jan - Dec), 2012"
1716,"NAKKI LAKE, MT. ABU",RAJASTHAN,2012,11,22,3.8,7.6,7.1,9,260,470,0.8,2.9,0.3,0.48,3,7,4,20,2012,"Calendar Year (Jan - Dec), 2012"
2935,"LAKE JET SAGAR, BUNDI",RAJASTHAN,2012,15,34,3.3,7,7.2,8.1,410,670,0.8,2.9,0.08,0.54,3,7,4,28,2012,"Calendar Year (Jan - Dec), 2012"
2936,"JAISAMAND LAKE, ALWAR",RAJASTHAN,2012,17,32,4.9,5.5,7.5,8.8,210,460,1.4,2.5,0.16,0.54,3,14,4,93,2012,"Calendar Year (Jan - Dec), 2012"
2941,"LAKE JAISAMAND, SALUMBER, UDAIPUR, POINT NO. 1",RAJASTHAN,2012,18,27,5.8,6.8,7.7,8.8,580,700,0.3,2.6,0.02,0.74,3,9,4,23,2012,"Calendar Year (Jan - Dec), 2012"
1347,UMIAM LAKE AT BARAPANI,MEGHALAYA,2012,17,28,5.4,8.1,6.9,7.4,105,275,5.8,10.8,0.46,12.04,1300,3800,2600,4800,2012,"Calendar Year (Jan - Dec), 2012"
2942,"LAKE JAISAMAND, SALUMBER, UDAIPUR, POINT NO. 2",RAJASTHAN,2012,19,27,5.7,6.8,7.5,8.9,510,690,0.5,2.5,0.14,0.84,3,7,4,28,2012,"Calendar Year (Jan - Dec), 2012"
2937,"LAKE SILISERH, ALWAR",RAJASTHAN,2012,16,32,4.3,6.8,7.4,8.7,190,830,0.7,1.9,0.16,0.74,3,7,4,21,2012,"Calendar Year (Jan - Dec), 2012"
2938,"LAKE RAJSAMAND, RAJSAMAND- POINT NO. 1, RAJSAMAND",RAJASTHAN,2012,16,24,4,8.3,7.4,8.7,510,900,1.1,4.9,0.08,0.54,3,7,4,28,2012,"Calendar Year (Jan - Dec), 2012"
2939,"LAKE RAJSAMAND, RAJSAMAND- POINT NO. 2, RAJSAMAND",RAJASTHAN,2012,17,23,4.2,8.6,4.2,8.6,500,770,1,4.2,0.02,0.42,3,7,4,28,2012,"Calendar Year (Jan - Dec), 2012"
2940,"GAPE- SAGAR LAKE, DUNGARPUR",RAJASTHAN,2012,18,27,4.1,5.2,7.6,8.3,450,790,0.8,2.8,0.02,1.14,4,9,9,75,2012,"Calendar Year (Jan - Dec), 2012"
2943,"LODHA TALAB, BANSWARA- DUNGARPUR ROAD, BANSWARA",RAJASTHAN,2012,23,32,2.4,6.3,7.3,8.3,108,1510,1,5.6,0.08,0.98,3,9,4,75,2012,"Calendar Year (Jan - Dec), 2012"
2944,"JALMAHAL, JAIPUR",RAJASTHAN,2012,17,33,1.3,7,7.7,9,860,2900,3.8,14.6,0.54,6,4,9,7,75,2012,"Calendar Year (Jan - Dec), 2012"
2046,SUKHNA LAKE,CHANDIGARH,2012,15,27,3.5,11.3,6.9,8.6,187,430,1,4,0,0.95,,,,,2012,"Calendar Year (Jan - Dec), 2012"
3030,SANJAY LAKE,DELHI,2012,,,,,8.3,9.4,1911,2830,5,5,,,,,,,2012,"Calendar Year (Jan - Dec), 2012"
3031,BHALSWA LAKE,DELHI,2012,,,,,8.8,8.8,9890,9890,13,13,,,,,,,2012,"Calendar Year (Jan - Dec), 2012"
3476,LAKE NEAR IIT FLYOVER,DELHI,2012,,,,,7.7,7.7,861,861,,,,,,,,,2012,"Calendar Year (Jan - Dec), 2012"
3033,SOHNA LAKE,HARYANA/CPCB,2012,,,,,8.4,8.4,155,155,2,2,,,,,,,2012,"Calendar Year (Jan - Dec), 2012"
1788,"SAROONAGAR , RANGA REDDY",ANDHRA PRADESH,2012,24,30,1.1,5.1,7.1,8.2,1111,1965,25,82,0,45.8,170,350,736,1640,2012,"Calendar Year (Jan - Dec), 2012"
2544,SAHEBBANDH AT PURULIA,WEST BENGAL,2012,20,34,5,14.9,7.3,8.5,358,485,1.1,9,0.28,0.66,200,8000,700,17000,2012,"Calendar Year (Jan - Dec), 2012"
2539,BELBONI LAKE NEAR BARJORA,WEST BENGAL,2012,23,28,6.6,10.9,6.3,8.6,116,291,0.5,4.8,0.1,0.32,200,14000,400,24000,2012,"Calendar Year (Jan - Dec), 2012"
2522,SINCHAL LAKE FOR DARJEELING,WEST BENGAL,2012,3,20,7.4,9.6,6.2,8,17,42,1.1,2.5,0,0.33,30,8000,220,22000,2012,"Calendar Year (Jan - Dec), 2012"
2521,WATER RESERVIOR AT DELO,WEST BENGAL,2012,10,24,7.2,9.1,7.1,7.9,5,34,0.8,3.2,0,0.55,400,8000,1100,23000,2012,"Calendar Year (Jan - Dec), 2012"
2520,MIRIKH LAKE,WEST BENGAL,2012,5,25,7,9.8,6.8,8.8,66,129,2,7.2,0,0.74,1700,28000,5000,200000,2012,"Calendar Year (Jan - Dec), 2012"
2519,KOCHBIHAR LAKE (SAGAR DIGHI),WEST BENGAL,2012,20,32,6.4,9.9,6.7,8.5,42,66,2.2,7.1,0,0.18,1100,8000,2700,22000,2012,"Calendar Year (Jan - Dec), 2012"
2505,HUNUMAN GHAT ON DUDHPUKUR AT TARAKESHWAR,WEST BENGAL,2012,22,36,2.2,18.3,7.5,8.6,733,820,1.3,24,0,2.39,8000,100000,13000,200000,2012,"Calendar Year (Jan - Dec), 2012"
2504,MAINH GHAT ON DUDHPUKUR AT TARAKESHWAR,WEST BENGAL,2012,21,36,0.9,16.7,7.6,8.4,736,814,1.1,26,0.03,2.19,11000,500000,30000,900000,2012,"Calendar Year (Jan - Dec), 2012"
2503,HATISHALA GHAT ON DUDHPUKUR AT TARAKESHWAR,WEST BENGAL,2012,21,36,0.9,17.8,7.5,8.6,735,811,2.9,24,0,2.43,8000,300000,11000,500000,2012,"Calendar Year (Jan - Dec), 2012"
1776,GARIA CALCUTTA,WEST BENGAL,2012,28,28,,,7.4,7.5,1164,1280,0.6,1,0.02,0.13,,,,,2012,"Calendar Year (Jan - Dec), 2012"
1765,"RABINDRASAROVAR NATIONAL LAKE, CALCUTTA",WEST BENGAL,2012,18,35,4.6,14.5,7.8,9.4,316,415,1.5,13.6,0,0.15,2000,22000,4000,80000,2012,"Calendar Year (Jan - Dec), 2012"
2436,PARVATI SAGAR ( RILIGIOUS POND OF PURI CITY),ORISSA,2012,22,31,1.5,18.4,7.5,8.5,548,1079,1.9,18,0.57,2.89,200,54000,450,200000,2012,"Calendar Year (Jan - Dec), 2012"
2435,SWETAGANGA ( RILIGIOUS POND OF PURI CITY),ORISSA,2012,23,32,6.5,22.9,7.7,9.6,1066,1879,2.3,31.5,1.48,15.67,450,24000,1300,54000,2012,"Calendar Year (Jan - Dec), 2012"
