station code,Station name,Type of water body,srcYear,srcStateName,Minimum temperature of water,Maximum temperature of water,Minimum dissolved oxygen.,Maximum dissolved oxygen.,Minimum potential of Hydrogen(Ph) values.,Maximum potential of Hydrogen(Ph) values.,Minimum conductivity required for water quality,Maximum conductivity required for water quality,Minimum biochemical oxygen demand (BOD) required for water quality,Maximum biochemical oxygen demand (BOD) required for water quality,Minimum  of Nitrate N + Nitrite N required,Maximum  of Nitrate N + Nitrite N required,Minimum  of Faecal Coliforms(coliform bacteria is associated with faecal matter) .,Maximum   of Faecal Coliforms(coliform bacteria is associated with faecal matter) .,Minimum coliform required for different water bodies,Maximum coliform required for different water bodies,YearCode,Year
2520,MIRIKHLAKE,LAKE,2016,WESTBENGAL,5,24,3.7,8.8,6.6,7.6,69,170,2.3,6,0.1,0.5,400,24000,5000,170000,2016,"Calendar Year (Jan - Dec), 2016"
2521,WATERRESERVIORATDELO,LAKE,2016,WESTBENGAL,7,25,6.9,8.6,6.5,8.5,9,34,0.2,2.4,0.1,0.5,110,700,330,3300,2016,"Calendar Year (Jan - Dec), 2016"
2522,SINCHALLAKEFORDARJEELING,LAKE,2016,WESTBENGAL,3,32,6,8.5,6.2,7.7,10,151,0.7,2.6,0.1,0.4,40,8000,210,17000,2016,"Calendar Year (Jan - Dec), 2016"
2539,BELBONILAKENEARBARJORA,LAKE,2016,WESTBENGAL,19,33,5.6,9.2,7.4,7.8,170,298,1.3,5.9,0,0.7,400,17000,700,28000,2016,"Calendar Year (Jan - Dec), 2016"
2544,SAHEBBANDHATPURULIA,LAKE,2016,WESTBENGAL,20,34,4,11.8,7.5,8,425,519,1.8,5.9,0,0.7,400,30000,700,50000,2016,"Calendar Year (Jan - Dec), 2016"
2046,SUKHNALAKE,LAKE,2016,CHANDIGARH,17,35,1.4,8.7,7.9,9.4,122,1665,2,29,0,6.2,1200,762770,1500,7627701,2016,"Calendar Year (Jan - Dec), 2016"
3163,"HITKASATAILINGDAM,RAJHARA",LAKE,2016,CHHATTISGARH,28,42,6,12,7.2,7.4,,,7.2,18,0.1,0.5,,,260,1100,2016,"Calendar Year (Jan - Dec), 2016"
3164,"NEHRUNAGARTALAB,BHILAI",POND,2016,CHHATTISGARH,25,25,5.9,7.2,7.3,7.8,,,12,22,0.4,1.2,,,410,460,2016,"Calendar Year (Jan - Dec), 2016"
1549,SALAULIMLAKEATSALAULIM-SANGUEM,LAKE,2016,GOA,28,35,4.3,8.2,6.6,7.1,14,72,0.1,3.4,0,0.2,5,23,6.8,79,2016,"Calendar Year (Jan - Dec), 2016"
2269,"MAYEMLAKE,BICHOLIM",LAKE,2016,GOA,28,35.3,4.8,8.3,5.6,6.9,16,110,0.9,4.4,0,0.1,450,4900,780,13000,2016,"Calendar Year (Jan - Dec), 2016"
3175,ANJUNEMLAKE,LAKE,2016,GOA,25,31.2,4.6,8.3,6.1,7.2,16,102,0.2,1.5,0,0.4,2,79,5,240,2016,"Calendar Year (Jan - Dec), 2016"
3176,RUMDERLAKE,LAKE,2016,GOA,27,31,2.8,11.1,5.9,6.3,52,342,0.9,6.9,0,10.6,330,7900,490,13000,2016,"Calendar Year (Jan - Dec), 2016"
3177,CARAMBOLIMLAKE,LAKE,2016,GOA,27,30,1.4,6.4,5.9,4.7,62,180,1.3,3.4,0,0.5,230,5400,330,9200,2016,"Calendar Year (Jan - Dec), 2016"
3178,RAIALAKE,LAKE,2016,GOA,27,31.3,3,8.2,6.3,6.2,12,204,1,3.4,0,0.7,490,3500,1100,9200,2016,"Calendar Year (Jan - Dec), 2016"
3179,SAIPEMLAKE,LAKE,2016,GOA,28,30.1,0.4,7.8,6.3,3.5,278,385,1.4,23,0.1,27.1,54000,54000,,92000,2016,"Calendar Year (Jan - Dec), 2016"
3180,CURTORIMLAKE,LAKE,2016,GOA,27,32.6,1.9,14.7,6.6,5.7,48,232,0.7,16,0,0.2,78,7900,780,11000,2016,"Calendar Year (Jan - Dec), 2016"
